ID;pregunta;opcion1;opcion2;opcion3;opcion4;respuestaCorrecta
301;¿Cuántos jugadores tiene un equipo de fútbol en el campo?;9;10;11;12;3
302;¿Dónde se celebraron los Juegos Olímpicos de 2016?;Tokio;Río de Janeiro;Londres;Atenas;2
303;¿Quién ha ganado más títulos de Fórmula 1?;Ayrton Senna;Lewis Hamilton;Michael Schumacher;Fernando Alonso;2
304;¿Qué país ganó el Mundial de Fútbol 2010?;Alemania;Brasil;España;Italia;3
305;¿Cómo se llama el torneo de tenis jugado en césped?;Roland Garros;US Open;Wimbledon;Australian Open;3
306;¿En qué deporte se utiliza un “putter”?;Cricket;Golf;Hockey;Béisbol;2
307;¿Qué selección es conocida como “los All Blacks”?;Australia;Sudáfrica;Nueva Zelanda;Inglaterra;3
308;¿Cuántos puntos vale un triple en baloncesto?;1;2;3;4;3
309;¿Quién es considerado el mejor nadador olímpico de la historia?;Phelps;Thorpe;Lochte;Dressel;1
310;¿Qué deporte practica Simone Biles?;Gimnasia artística;Natación;Atletismo;Patinaje;1
311;¿Cuántos jugadores hay en un equipo de voleibol en cancha?;5;6;7;8;2
312;¿En qué país se originó el judo?;China;Corea;Japón;Tailandia;3
313;¿Cuál es la distancia de un maratón olímpico?;42,195 km;40 km;45 km;50 km;1
314;¿Quién tiene el récord de más goles en la historia de la Liga española?;Lionel Messi;Cristiano Ronaldo;Raúl;Zarra;2
315;¿En qué ciudad se celebraron los Juegos Olímpicos de 2000?;Sidney;Atlanta;Barcelona;Atenas;1
316;¿Qué país domina históricamente el hockey sobre hielo?;Suecia;Canadá;Rusia;Finlandia;2
317;¿Cuál es el torneo de tenis más antiguo del mundo?;US Open;Roland Garros;Wimbledon;Australian Open;3
318;¿En qué deporte se utiliza una “katana”?;Esgrima;Kendo;Judo;Taekwondo;2
319;¿Qué atleta es conocido como “La Gacela de Etiopía”?;Haile Gebrselassie;Kenenisa Bekele;Tirunesh Dibaba;Meseret Defar;3
320;¿Cuál es el país con más medallas en la historia de los Juegos Olímpicos de verano?;Estados Unidos;China;Rusia;Alemania;1
