ID;pregunta;opcion1;opcion2;opcion3;opcion4;respuestaCorrecta
201;¿Cuál es el número atómico del oxígeno?;6;7;8;10;3
202;¿Quién formuló la teoría de la relatividad?;Newton;Einstein;Feynman;Bohr;2
203;¿Qué planeta es conocido como el planeta rojo?;Venus;Marte;Júpiter;Mercurio;2
204;¿Cuál es la unidad básica de la vida?;Átomo;Célula;Molécula;Órgano;2
205;¿Qué gas es esencial para la fotosíntesis?;Nitrógeno;Oxígeno;Dióxido de carbono;Argón;3
206;¿En qué galaxia vivimos?;Andrómeda;Vía Láctea;Triángulum;Centaurus A;2
207;¿Quién es considerado el padre de la química moderna?;Lavoisier;Dalton;Mendeleiev;Curie;1
208;¿Cuál es la fuerza que mantiene los planetas en órbita?;Electromagnética;Gravitatoria;Nuclear débil;Nuclear fuerte;2
209;¿Cuál es el resultado de 9×8?;72;81;64;90;1
210;¿Qué órgano bombea la sangre en el cuerpo humano?;Pulmones;Hígado;Corazón;Riñones;3
211;¿Cuál de las siguientes partículas subatómicas determina principalmente la identidad de un elemento?;Protón;Neutrón;Electrón;Quark;1
212;¿Qué tipo de enlace químico implica la compartición de electrones entre átomos?;Iónico;Covalente;Metálico;Van der Waals;2
213;¿Qué ley de la termodinámica establece que la entropía de un sistema aislado nunca disminuye?;Primera;Segunda;Tercera;Ley de Boyle;2
214;¿Qué tipo de energía se almacena en los enlaces químicos de una molécula?;Cinética;Potencial;Nuclear;Electromagnética;2
215;¿Cuál de las siguientes es una molécula orgánica que almacena energía a corto plazo en las células?;ADN;ATP;Colágeno;Glucógeno;2
216;¿Qué teoría explica la evolución de las especies por selección natural?;Lamarckismo;Darwinismo;Creacionismo;Neutralismo;2
217;¿Cuál es la función principal de los ribosomas en la célula?;Almacenar energía;Sintetizar proteínas;Producir lípidos;Controlar la división celular;2
218;¿Qué fenómeno físico explica la dispersión de la luz blanca en un prisma?;Difracción;Reflexión;Refracción;Interferencia;3
219;¿Qué tipo de mutación genética no altera la secuencia de aminoácidos de una proteína?;Sustitución silenciosa;Inserción;Deleción;Duplicación;1
220;¿Cuál es la molécula transportadora de electrones en la cadena respiratoria mitocondrial?;FADH2;NADH;ATP;GTP;2
